Name,Email,Phone,Website,Address,Rating,Rating Count,Type,Latitude,Longitude
Cottage Cold Corner,,,,"Manali, India",4.3,45+,Guest House,,
Appleview Guesthouse,,,,"Manali, India",4.3,45+,Guest House,,
Casa Bella Vista,,,,"Manali, India",4.3,45+,Guest House,,
Drifters Cafe and Guest House,,,,"Manali, India",4.3,45+,Guest House,,
Valley of the Gods,,,,"Manali, India",4.3,45+,Guest House,,
Hotel Green Park,,,,"Goa, India",4.3,45+,Hotel,,
Sunset Guesthouse,,,,"Goa, India",4.3,45+,Guest House,,
Mandovi,,,,"Goa, India",4.3,45+,Hotel,,
Honeymoon Inn,,,,"Shimla, India",4.3,45+,Hotel,,
"Forest Rest House, Tattapani",,,,"Shimla, India",4.3,45+,Guest House,,
New Spring View,,,,"Shimla, India",4.3,45+,Hotel,,
Hotel Ellbee Ganga View,,,,"Rishikesh, India",4.3,45+,Hotel,,
Hotel Surya,,,,"Rishikesh, India",4.3,45+,Hotel,,
Laxmi Lodge,,,,"Rishikesh, India",4.3,45+,Guest House,,
Royal Goan Beach Club at Monterio,,,,"Goa, India",4.3,45+,Hotel,,
Coconut Creek Hotel,,,,"Goa, India",4.3,45+,Hotel,,
Bogmalo Beach Resort,,,,"Goa, India",4.3,45+,Resort,,
Vivenda dos Palhacos,,,,"Goa, India",4.3,45+,Hotel,,
Sea Queen Beach Resort,,,,"Goa, India",4.3,45+,Resort,,
La Paz,,,,"Goa, India",4.3,45+,Hotel,,
GTDC Calangute Residency,,,,"Goa, India",4.3,45+,Hotel,,
GMVN-Bharat Bhoomi,,+91-135-2433002,,"Rishikesh, India",4.3,45+,Hotel,,
Bhandari Swiss Cottage,,+91135 243 2939,,"Rishikesh, India",4.3,45+,Cottage / Homestay,,
Hotel Paradise Continental,,,,"Mussoorie, India",4.3,45+,Hotel,,
Welcomhotel by ITC Savoy Hotel,,,,"Mussoorie, India",4.3,45+,Hotel,,
Padmini Nivas,,,,"Mussoorie, India",4.3,45+,Hotel,,
Snowcrests Manor,,,,"Manali, India",4.3,45+,Hotel,,
Sonam Guest House,,,,"Manali, India",4.3,45+,Guest House,,
Ambika,,,,"Manali, India",4.3,45+,Hotel,,
Anand,,,,"Manali, India",4.3,45+,Guest House,,
Apple Villa,,,,"Manali, India",4.3,45+,Guest House,,
Om Blessed Cottage,,,,"Rishikesh, India",4.3,45+,Cottage / Homestay,,
Yoga Villa,,01352440144,,"Rishikesh, India",4.3,45+,Cottage / Homestay,,
Negi Bhawan,,8126375433,,"Rishikesh, India",4.3,45+,Guest House,,
Swasti Yogshala,,,,"Rishikesh, India",4.3,45+,Guest House,,
Narayana Kunj,,+919758881169,,"Rishikesh, India",4.3,45+,Hotel,,
Rokeby Manor,,,,"Mussoorie, India",4.3,45+,Hotel,,
Bunkotel,,,,"Mussoorie, India",4.3,45+,Hotel,,
Prospect Point Lodge,,,,"Mussoorie, India",4.3,45+,Guest House,,
Pine Tree Lodge,,9760245445,,"Mussoorie, India",4.3,45+,Guest House,,
The Cliffe,,,,"Mussoorie, India",4.3,45+,Hotel,,
Tulip Inn,,,,"Mussoorie, India",4.3,45+,Hotel,,
Club Mahindra,,,,"Mussoorie, India",4.3,45+,Hotel,,
Green Leaf,,,,"Nainital, India",4.3,45+,Hotel,,
KMVN Ramgarh,,,,"Nainital, India",4.3,45+,Hotel,,
KMVN Mukteshwar,,,,"Nainital, India",4.3,45+,Hotel,,
KMVN Almora,,,,"Nainital, India",4.3,45+,Hotel,,
Sharda Hotel,,,,"Nainital, India",4.3,45+,Hotel,,
Armadale,,,,"Nainital, India",4.3,45+,Hotel,,
Ayan Jungle Camp,,,,"Nainital, India",4.3,45+,Hotel,,
Hotel Harbola,,,,"Nainital, India",4.3,45+,Hotel,,
Diber DRDO,,,,"Nainital, India",4.3,45+,Guest House,,
Hotel Amber,,,,"Nainital, India",4.3,45+,Hotel,,
Hotel Shobla International,,,,"Kullu, India",4.3,45+,Hotel,,
Mrinal guest house,,,,"Kullu, India",4.3,45+,Guest House,,
Care Himalaya Home,,9418033699,,"Kullu, India",4.3,45+,Guest House,,
Snow View Guesthouse,,,,"Kullu, India",4.3,45+,Guest House,,
Spars Lodge,,,,"Shimla, India",4.3,45+,Hotel,,
Vishram,,,,"Shimla, India",4.3,45+,Guest House,,
Peterhof,,,,"Shimla, India",4.3,45+,Hotel,,
Hotel Rama Palace,,,,"Shimla, India",4.3,45+,Hotel,,
Oberoi Cecil,,,,"Shimla, India",4.3,45+,Hotel,,
Landmark Hotel and lookout,,,,"Shimla, India",4.3,45+,Hotel,,
Clarke's Hotel,,,,"Shimla, India",4.3,45+,Hotel,,
Aarti Hotel,,,,"Haridwar, India",4.3,45+,Hotel,,
song river,,,,"Haridwar, India",4.3,45+,Hotel,,
La Casa,,,,"Haridwar, India",4.3,45+,Hotel,,
Hotel Arjun,,,,"Haridwar, India",4.3,45+,Hotel,,
Hotel Swagat Palace,,+91 1334 221 581,,"Haridwar, India",4.3,45+,Hotel,,
Nature Care Village,,,,"Haridwar, India",4.3,45+,Guest House,,
Hotel City Center,,,,"Haridwar, India",4.3,45+,Hotel,,
Aasta Palace,,,,"Haridwar, India",4.3,45+,Hotel,,
Madhuban guest house,,,,"Haridwar, India",4.3,45+,Guest House,,
Hotel Pardesi,,,,"Haridwar, India",4.3,45+,Hotel,,
hotel megha view,,,,"Dalhousie, India",4.3,45+,Guest House,,
Tibetan Guest House,,,,"Dalhousie, India",4.3,45+,Guest House,,
Zostel,,,,"Dalhousie, India",4.3,45+,Hotel,,
Sandringham Hideout,,,,"Dalhousie, India",4.3,45+,Hotel,,
Sagrika Resort,,,,"Dalhousie, India",4.3,45+,Resort,,
Forest Rest House,,,,"Dalhousie, India",4.3,45+,Guest House,,
Mahal Farms B&B,,,,"Kasauli, India",4.3,45+,Hotel,,
Gleanview,,,,"Kasauli, India",4.3,45+,Hotel,,
Hotel Morning Sun,,,,"Dharamshala, India",4.3,45+,Hotel,,
Hotel Jagtamba,,,,"Dharamshala, India",4.3,45+,Hotel,,
Hotel Vatika,,,,"Dharamshala, India",4.3,45+,Hotel,,
Hotel Chamunda,,,,"Dharamshala, India",4.3,45+,Hotel,,
Sargam Guest House,,,,"Dharamshala, India",4.3,45+,Guest House,,
Maiya Yashodha Ashram,,,,"Dharamshala, India",4.3,45+,Guest House,,
Himani Guest House,,,,"Dharamshala, India",4.3,45+,Guest House,,
Nataraj Guest House,,,,"Dharamshala, India",4.3,45+,Guest House,,
Mahajan Hotel,,,,"Dharamshala, India",4.3,45+,Hotel,,
Holiday Inn,,,,"Jaipur, India",4.3,45+,Hotel,,
Jasvilas,,,,"Jaipur, India",4.3,45+,Hotel,,
The Oberoi  Rajvilas,,,,"Jaipur, India",4.3,45+,Hotel,,
