id,hotel_name,city,phone,email,website,status,date_discovered,audit_notes
in-lead-001,hotel megha view,Dalhousie,1899242496,hotelmeghaview@gmail.com,,sent,2026-09-04,Indian Guest House in Dalhousie. No standalone booking website. High MakeMyTrip/OTA commission loss.
in-lead-002,Tibetan Guest House,Dalhousie,,intdalac@dal.ca,,sent,2026-09-04,Indian Guest House in Dalhousie. No standalone booking website. High MakeMyTrip/OTA commission loss.
in-lead-003,Zostel,Dalhousie,,reservations@zostel.com,,sent,2026-09-04,Indian Hostel in Dalhousie. No standalone booking website. High MakeMyTrip/OTA commission loss.
in-lead-004,Sandringham Hideout,Dalhousie,7009311130,support@scantrip.com,,sent,2026-09-04,Indian Hostel in Dalhousie. No standalone booking website. High MakeMyTrip/OTA commission loss.
in-lead-005,Sagrika Resort,Dalhousie,+91-7771862296,info@sagrikaresort.com,,sent,2026-09-04,Indian Hotel in Dalhousie. No standalone booking website. High MakeMyTrip/OTA commission loss.
in-lead-006,Forest Rest House,Dalhousie,9805583158,hpecosoc@gmail.com,,sent,2026-09-04,Indian Guest House in Dalhousie. No standalone booking website. High MakeMyTrip/OTA commission loss.
in-lead-007,Mahal Farms B&B,Kasauli,,mahalfarms@rediffmail.com,,sent,2026-09-04,Indian Hotel in Kasauli. No standalone booking website. High MakeMyTrip/OTA commission loss.
in-lead-008,Gleanview,Kasauli,8091577044,Reservation.rvkh@royalorchidhotels.com,,sent,2026-09-04,Indian Hostel in Kasauli. No standalone booking website. High MakeMyTrip/OTA commission loss.
in-lead-009,Hotel Paradise Continental,Mussoorie,9810444169,,,identified,2026-09-04,Indian Hotel in Mussoorie. No standalone booking website. High MakeMyTrip/OTA commission loss.
in-lead-010,Welcomhotel by ITC Savoy Hotel,Mussoorie,+91 9068491346,savoyreservations@savoyhotel.in,,sent,2026-09-04,Indian Hotel in Mussoorie. No standalone booking website. High MakeMyTrip/OTA commission loss.
in-lead-011,Padmini Nivas,Mussoorie,+91 7310804566,pnivas96@yahoo.in,,sent,2026-09-04,Indian Hotel in Mussoorie. No standalone booking website. High MakeMyTrip/OTA commission loss.
in-lead-012,Rokeby Manor,Mussoorie,+91- 9760245445,reservations@rokebymanor.com,,sent,2026-09-04,Indian Hotel in Mussoorie. No standalone booking website. High MakeMyTrip/OTA commission loss.
in-lead-013,Bunkotel,Mussoorie,,,,identified,2026-09-04,Indian Hostel in Mussoorie. No standalone booking website. High MakeMyTrip/OTA commission loss.
in-lead-014,Prospect Point Lodge,Mussoorie,,info@prospectpt.com,,sent,2026-09-04,Indian Guest House in Mussoorie. No standalone booking website. High MakeMyTrip/OTA commission loss.
in-lead-015,Pine Tree Lodge,Mussoorie,9760245445,hello@thepinetreehotel.com,,sent,2026-09-04,Indian Guest House in Mussoorie. No standalone booking website. High MakeMyTrip/OTA commission loss.
in-lead-016,The Cliffe,Mussoorie,8191900102,info@cliffecottage.com,,sent,2026-09-04,Indian Hotel in Mussoorie. No standalone booking website. High MakeMyTrip/OTA commission loss.
in-lead-017,Tulip Inn,Mussoorie,9675546443,info@hotelgreencastle.com,,sent,2026-09-04,Indian Hotel in Mussoorie. No standalone booking website. High MakeMyTrip/OTA commission loss.
in-lead-018,Club Mahindra,Mussoorie,+91 7302262599,memberexperience@mahindraholidays.com,,sent,2026-09-04,Indian Hotel in Mussoorie. No standalone booking website. High MakeMyTrip/OTA commission loss.
in-lead-019,Hotel raj palace,Mussoorie,+91-8393932338,,,identified,2026-09-04,Indian Hotel in Mussoorie. No standalone booking website. High MakeMyTrip/OTA commission loss.
in-lead-020,Rose paying guest house,Mussoorie,8287822801,madansingh140684@gmail.com,,sent,2026-09-04,Indian Guest House in Mussoorie. No standalone booking website. High MakeMyTrip/OTA commission loss.
in-lead-021,Kasmanda Palace,Mussoorie,01352632424,info@kasmandapalace.com,,sent,2026-09-04,Indian Hotel in Mussoorie. No standalone booking website. High MakeMyTrip/OTA commission loss.
in-lead-022,Hotel Mayur,Mussoorie,8191900102,reachus@thehotelmayur.com,,sent,2026-09-04,Indian Hotel in Mussoorie. No standalone booking website. High MakeMyTrip/OTA commission loss.
in-lead-023,Hotel Paramount,Mussoorie,8191900102,info@paramounthotels.com,,sent,2026-09-04,Indian Hotel in Mussoorie. No standalone booking website. High MakeMyTrip/OTA commission loss.
in-lead-024,The three oaks boutique hotel,Mussoorie,,,,identified,2026-09-04,Indian Hotel in Mussoorie. No standalone booking website. High MakeMyTrip/OTA commission loss.
