ID,Hotel Name,City,Phone,Email,Website,Status,Date,Audit Notes
in-lead-001,hotel megha view,Dalhousie,,,,identified,2026-09-04,Indian Guest House in Dalhousie. No standalone booking website. High MakeMyTrip/OTA commission loss.
in-lead-002,Tibetan Guest House,Dalhousie,,,,identified,2026-09-04,Indian Guest House in Dalhousie. No standalone booking website. High MakeMyTrip/OTA commission loss.
in-lead-003,Zostel,Dalhousie,,,,identified,2026-09-04,Indian Hostel in Dalhousie. No standalone booking website. High MakeMyTrip/OTA commission loss.
in-lead-004,Sandringham Hideout,Dalhousie,,,,identified,2026-09-04,Indian Hostel in Dalhousie. No standalone booking website. High MakeMyTrip/OTA commission loss.
in-lead-005,Sagrika Resort,Dalhousie,,,,identified,2026-09-04,Indian Hotel in Dalhousie. No standalone booking website. High MakeMyTrip/OTA commission loss.
in-lead-006,Forest Rest House,Dalhousie,,,,identified,2026-09-04,Indian Guest House in Dalhousie. No standalone booking website. High MakeMyTrip/OTA commission loss.
in-lead-007,Mahal Farms B&B,Kasauli,,,,identified,2026-09-04,Indian Hotel in Kasauli. No standalone booking website. High MakeMyTrip/OTA commission loss.
in-lead-008,Gleanview,Kasauli,,,,identified,2026-09-04,Indian Hostel in Kasauli. No standalone booking website. High MakeMyTrip/OTA commission loss.
in-lead-009,Hotel Paradise Continental,Mussoorie,,,,identified,2026-09-04,Indian Hotel in Mussoorie. No standalone booking website. High MakeMyTrip/OTA commission loss.
in-lead-010,Welcomhotel by ITC Savoy Hotel,Mussoorie,,,,identified,2026-09-04,Indian Hotel in Mussoorie. No standalone booking website. High MakeMyTrip/OTA commission loss.
in-lead-011,Padmini Nivas,Mussoorie,,,,identified,2026-09-04,Indian Hotel in Mussoorie. No standalone booking website. High MakeMyTrip/OTA commission loss.
in-lead-012,Rokeby Manor,Mussoorie,,,,identified,2026-09-04,Indian Hotel in Mussoorie. No standalone booking website. High MakeMyTrip/OTA commission loss.
in-lead-013,Bunkotel,Mussoorie,,,,identified,2026-09-04,Indian Hostel in Mussoorie. No standalone booking website. High MakeMyTrip/OTA commission loss.
in-lead-014,Prospect Point Lodge,Mussoorie,,,,identified,2026-09-04,Indian Guest House in Mussoorie. No standalone booking website. High MakeMyTrip/OTA commission loss.
in-lead-015,Pine Tree Lodge,Mussoorie,9760245445,,,identified,2026-09-04,Indian Guest House in Mussoorie. No standalone booking website. High MakeMyTrip/OTA commission loss.
in-lead-016,The Cliffe,Mussoorie,,,,identified,2026-09-04,Indian Hotel in Mussoorie. No standalone booking website. High MakeMyTrip/OTA commission loss.
in-lead-017,Tulip Inn,Mussoorie,,,,identified,2026-09-04,Indian Hotel in Mussoorie. No standalone booking website. High MakeMyTrip/OTA commission loss.
in-lead-018,Club Mahindra,Mussoorie,,,,identified,2026-09-04,Indian Hotel in Mussoorie. No standalone booking website. High MakeMyTrip/OTA commission loss.
in-lead-019,Hotel raj palace,Mussoorie,,,,identified,2026-09-04,Indian Hotel in Mussoorie. No standalone booking website. High MakeMyTrip/OTA commission loss.
in-lead-020,Rose paying guest house,Mussoorie,,,,identified,2026-09-04,Indian Guest House in Mussoorie. No standalone booking website. High MakeMyTrip/OTA commission loss.
in-lead-021,Kasmanda Palace,Mussoorie,01352632424,,,identified,2026-09-04,Indian Hotel in Mussoorie. No standalone booking website. High MakeMyTrip/OTA commission loss.
in-lead-022,Hotel Mayur,Mussoorie,,,,identified,2026-09-04,Indian Hotel in Mussoorie. No standalone booking website. High MakeMyTrip/OTA commission loss.
in-lead-023,Hotel Paramount,Mussoorie,,,,identified,2026-09-04,Indian Hotel in Mussoorie. No standalone booking website. High MakeMyTrip/OTA commission loss.
in-lead-024,The three oaks boutique hotel,Mussoorie,,,,identified,2026-09-04,Indian Hotel in Mussoorie. No standalone booking website. High MakeMyTrip/OTA commission loss.
in-lead-025,Paradise Mansion,Mussoorie,,,,identified,2026-09-04,Indian Chalet in Mussoorie. No standalone booking website. High MakeMyTrip/OTA commission loss.
in-lead-026,Kaveri Hostel,Mussoorie,,,,identified,2026-09-04,Indian Hostel in Mussoorie. No standalone booking website. High MakeMyTrip/OTA commission loss.
in-lead-027,Narmada Hostel,Mussoorie,,,,identified,2026-09-04,Indian Hostel in Mussoorie. No standalone booking website. High MakeMyTrip/OTA commission loss.
in-lead-028,Ganga Hostel,Mussoorie,,,,identified,2026-09-04,Indian Hostel in Mussoorie. No standalone booking website. High MakeMyTrip/OTA commission loss.
in-lead-029,Mahanadi Hostel,Mussoorie,,,,identified,2026-09-04,Indian Hostel in Mussoorie. No standalone booking website. High MakeMyTrip/OTA commission loss.
in-lead-030,Vikas Hotel,Mussoorie,,,,identified,2026-09-04,Indian Hotel in Mussoorie. No standalone booking website. High MakeMyTrip/OTA commission loss.
in-lead-031,FabHotel Clock View,Mussoorie,,,,identified,2026-09-04,Indian Hotel in Mussoorie. No standalone booking website. High MakeMyTrip/OTA commission loss.
in-lead-032,Monarch hotel,Mussoorie,,,,identified,2026-09-04,Indian Hotel in Mussoorie. No standalone booking website. High MakeMyTrip/OTA commission loss.
in-lead-033,Shivalik Hills,Mussoorie,,,,identified,2026-09-04,Indian Hotel in Mussoorie. No standalone booking website. High MakeMyTrip/OTA commission loss.
in-lead-034,Hotel Green Park,Goa,09322800100,,,identified,2026-09-04,Indian Hotel in Goa. No standalone booking website. High MakeMyTrip/OTA commission loss.
in-lead-035,Sunset Guesthouse,Goa,+91-7447443132,,,identified,2026-09-04,Indian Guest House in Goa. No standalone booking website. High MakeMyTrip/OTA commission loss.
in-lead-036,Mandovi,Goa,+91 8322224405,demandovigoa@gmail.com,,identified,2026-09-04,Indian Hotel in Goa. No standalone booking website. High MakeMyTrip/OTA commission loss.
in-lead-037,Royal Goan Beach Club at Monterio,Goa,,monterio@karmagroup.com,,identified,2026-09-04,Indian Hotel in Goa. No standalone booking website. High MakeMyTrip/OTA commission loss.
in-lead-038,Coconut Creek Hotel,Goa,,reservations@coconutcreekgoa.com,,identified,2026-09-04,Indian Hotel in Goa. No standalone booking website. High MakeMyTrip/OTA commission loss.
in-lead-039,Bogmalo Beach Resort,Goa,+91-8390904982,salesgoa@bogmallobeachresort.com,,identified,2026-09-04,Indian Hotel in Goa. No standalone booking website. High MakeMyTrip/OTA commission loss.
in-lead-040,Vivenda dos Palhacos,Goa,,info@vivendagoa.com,,identified,2026-09-04,Indian Hotel in Goa. No standalone booking website. High MakeMyTrip/OTA commission loss.
in-lead-041,Sea Queen Beach Resort,Goa,+91-9322607926,info@seaqueenbeachresort.com,,identified,2026-09-04,Indian Hotel in Goa. No standalone booking website. High MakeMyTrip/OTA commission loss.
in-lead-042,La Paz,Goa,+91 8130048450,res.lapazgoa@beaconhotels.com,,identified,2026-09-04,Indian Hotel in Goa. No standalone booking website. High MakeMyTrip/OTA commission loss.
in-lead-043,GTDC Calangute Residency,Goa,9890673030,,,identified,2026-09-04,Indian Hotel in Goa. No standalone booking website. High MakeMyTrip/OTA commission loss.
in-lead-044,Hotel A Canoa,Goa,9822484446,,,identified,2026-09-04,Indian Hotel in Goa. No standalone booking website. High MakeMyTrip/OTA commission loss.
in-lead-045,Colva Beach Resort,Goa,9822586704,starbeachresortingoa@yahoo.co.in,,identified,2026-09-04,Indian Hotel in Goa. No standalone booking website. High MakeMyTrip/OTA commission loss.
in-lead-046,La Ben,Goa,,labenresort@gmail.com,,identified,2026-09-04,Indian Hotel in Goa. No standalone booking website. High MakeMyTrip/OTA commission loss.
in-lead-047,Hotel Neelam Grand,Goa,+91 9011086456,reservation@thegrandgoa.com,,identified,2026-09-04,Indian Hotel in Goa. No standalone booking website. High MakeMyTrip/OTA commission loss.
in-lead-048,Hotel Neelam Glitz,Goa,+91 9011086409,reservation@theglitzgoa.com,,identified,2026-09-04,Indian Hotel in Goa. No standalone booking website. High MakeMyTrip/OTA commission loss.
